pid,text,entropy,candidates
10523,"marina deco wood ornament this is really great piece , and it will be much realistic after 1 month in he water , i loved it .",24.049816,53: novelty_gag_toys | 21: baby_toddler_toys | 13: arts_crafts | 111: sports_outdoor_play | 3: toys_games | 128: feeding | 34: stuffed_animals_plush | 204: easels | 15: action_toy_figures | 120: hobbies
624,"buddha buddha bank 45 happiness item is great design and color , but i would make one major change . the coin slot is located at the rear bottom of the buddha 's neck , making it very difficult to fill the bank more than halfway .",23.976725,128: feeding | 13: arts_crafts | 40: baby_products | 145: bathing_skin_care | 111: sports_outdoor_play | 194: gift_sets | 53: novelty_gag_toys | 208: gourmet_gifts | 21: baby_toddler_toys | 31: household_supplies
15361,27 pc cookware playset primary these are great . we just received them and they are one of the best sets of play dishes i have seen . we have some other sets but nothing of this quality ! the price is very reasonable . the colors are great and match the pastel kidkraft kitchen we bought for our little girl . would definitely recommend these dishes !,23.901478,208: gourmet_gifts | 265: candy_chocolate | 128: feeding | 271: snack_food | 216: pantry_staples | 0: grocery_gourmet_food | 255: breads_bakery | 288: baby_food | 209: snack_gifts | 340: gummy_candies
15614,"dimensions pencil by number kit ( 9 "" x 12 "" ) in your choice of designs the picture shows a fairly detailed amount of shading with the colors . however , the shading is achieved by blending with pencils . there were only 10 ( yes ten ) colored pencils total and a grey and black short pencil in the one i bought . this is more of a dollar tree item than the 4 . 79 . i was disappointed .",23.271677,60: tools_accessories | 13: arts_crafts | 53: novelty_gag_toys | 3: toys_games | 111: sports_outdoor_play | 17: dolls_accessories | 21: baby_toddler_toys | 11: makeup | 51: dress_up_pretend_play | 4: games
64,"makit products inc . make a plate our family made these plates back in the 80s and we still have and use ours . i think these are great fun , great gifts and a great experience . we did them as a family and it 's begun a tradition carried on now for two generations . it 's not fine china but durable and a great tradition for just about everyone",23.1697,208: gourmet_gifts | 128: feeding | 265: candy_chocolate | 8: beverages | 271: snack_food | 0: grocery_gourmet_food | 40: baby_products | 129: bottle_feeding | 369: tea_gifts | 209: snack_gifts
440,"coralife 01692 digital power center i do n't normally provide product feedback , but i felt compelled to do it this time because this product ( power center sold under coralife aqualight other brand names ) should really be off the market . first problem",23.047787,296: fish_aquatic_pets | 31: household_supplies | 111: sports_outdoor_play | 32: household_batteries | 53: novelty_gag_toys | 145: bathing_skin_care | 60: tools_accessories | 74: medical_supplies_equipment | 120: hobbies | 21: baby_toddler_toys
8833,ohio art classic etch a sketch in 1960 box the product i received was in regular packaging . not the 1960 's style packaging . the screen was also damaged and looked extremely darker than a normal etch a sketch . it worked fine otherwise !,22.925657,13: arts_crafts | 53: novelty_gag_toys | 111: sports_outdoor_play | 21: baby_toddler_toys | 31: household_supplies | 3: toys_games | 60: tools_accessories | 120: hobbies | 17: dolls_accessories | 401: stickers
14426,"jerdon 8 inch wall mount mirror purchased as gift , arrived very timely and in great shape . recipient seems very pleased with product and ease of installation .",22.838764,111: sports_outdoor_play | 13: arts_crafts | 21: baby_toddler_toys | 160: strollers | 53: novelty_gag_toys | 40: baby_products | 60: tools_accessories | 31: household_supplies | 128: feeding | 120: hobbies
17946,"cars victory lane blue black grey self stick wall border , 5 inch x 15 foot do not buy this border ! ! ! ! not unless you want to be constantly putting it back up and then finally breaking down and taping the stupid stuff to the wall . i wish i had bought the prepasted stuff and just done it the hard way ... would have been less work in the long run !",22.540722,160: strollers | 40: baby_products | 41: gear | 135: safety | 111: sports_outdoor_play | 315: travel_systems | 21: baby_toddler_toys | 128: feeding | 139: nursery | 13: arts_crafts
5783,jojo designs window valance these valances were ordered for my 5 year old son 's room to match the army camo theme he so desired . they look great and match the bedding we ordered from another manufacturer perfectly . they are quite thin and long but i ordered 2 to make it look fuller on his window . they are a great addition to his new room and well worth they cost !,22.532612,135: safety | 40: baby_products | 139: nursery | 128: feeding | 21: baby_toddler_toys | 111: sports_outdoor_play | 296: fish_aquatic_pets | 74: medical_supplies_equipment | 160: strollers | 13: arts_crafts
11607,"jerdon 8 inch wall mount mirror i purchased this mirror because i wanted a round wall mount in a bronze finish . i should have bought the conair oval wall mount in bronze . the jerdon is squeaky and does n't move well . i have tried loosening and tightening the screws , using wd 40 , nothing works . disappointed .",22.49808,111: sports_outdoor_play | 60: tools_accessories | 21: baby_toddler_toys | 13: arts_crafts | 53: novelty_gag_toys | 120: hobbies | 31: household_supplies | 3: toys_games | 30: electronics_for_kids | 199: dogs
14302,gigi accu edge wax spatulas i bought these and they are fine but i am no sure they are necessary . i think overall i could have purchased cheap craft sticks from wal mart and gotten the same result . the edge of a regular 'popsicle 'stick would have worked fine,22.323423,265: candy_chocolate | 60: tools_accessories | 11: makeup | 31: household_supplies | 24: personal_care | 10: beauty | 64: hair_care | 54: bath_body | 376: fudge | 145: bathing_skin_care
9216,ice bandana ( tm ) grey black purchased as a gift so have no input as to true value to the receipent . i know it arrived in good shape,22.295055,60: tools_accessories | 220: fragrance | 199: dogs | 145: bathing_skin_care | 221: women_s | 265: candy_chocolate | 31: household_supplies | 13: arts_crafts | 170: cats | 21: baby_toddler_toys
13706,"crayola 8ct write start colored pencils perfect for little hands and problem big hands . i enjoy using these instead of the skinny pencils . i have tendon itis and the looser grip is more comfortable . the colors are rich like crayola watercolor pencils , wish they came in larger packs of more colors .",22.212873,60: tools_accessories | 13: arts_crafts | 111: sports_outdoor_play | 11: makeup | 53: novelty_gag_toys | 21: baby_toddler_toys | 51: dress_up_pretend_play | 3: toys_games | 17: dolls_accessories | 10: beauty
13581,"compact talking timer clock i have a master 's degree and could not figure out the diections ! my 27 year old daughter could n't either . back in the box it went and i found a "" pill turtle "" that is awesome ! easy to set and my elderly mother can manage it . do n't buy this product unless you are an astro physicist or something like one in the brains dept .",22.184954,74: medical_supplies_equipment | 111: sports_outdoor_play | 296: fish_aquatic_pets | 38: health_care | 128: feeding | 21: baby_toddler_toys | 53: novelty_gag_toys | 118: health_monitors | 13: arts_crafts | 23: health_personal_care
13341,"starlight globe we bought this globe for my daughter as a christmas present . we were very disappointed with the quality of the globe itself . i do not speak to the correctness of the globe as after inspecting the quality i knew i would return it and never looked to the actual information it provided . where the two halves of the globe met , it was covered with a tacky scotch tape looking substance that stuck out like a sore thumb . my husband went to undo it thinking maybe they did that for packing but he found that if he tried to lift it up , it would have torn part of the information away . you could also see several gouge like scratches in the darker water areas . as the gobe was packaged well , these must have been made either in the warehouse or while being packaged . and finally , at the top , there was actually a gouge deep enough that some of the chipboard was lifted up and showing . this product ended up looking cheap and not worth the money we spent on it . luckily we were able to return this before christmas rather than disappointing my daughter with no gift at all .",22.170795,13: arts_crafts | 128: feeding | 111: sports_outdoor_play | 53: novelty_gag_toys | 21: baby_toddler_toys | 145: bathing_skin_care | 296: fish_aquatic_pets | 40: baby_products | 31: household_supplies | 194: gift_sets
8005,"stork craft beatrice combo hutch i bought this thinking i was going to receive everything pictured . this is the first and last time i made this mistake . not wanting to deal with sending it back and all the hassle , i bought the dresser part from another site to complete the package . as a set i am in love with everything . it 's good quality , made of both wood and ply wood . extremely sturdy . i noticed the finish is quite delicate , it does n't take much to scratch it . but it 's still very beautiful . i imagine this being in my family for a long time . ( )",22.162739,128: feeding | 40: baby_products | 145: bathing_skin_care | 139: nursery | 21: baby_toddler_toys | 194: gift_sets | 3: toys_games | 13: arts_crafts | 34: stuffed_animals_plush | 53: novelty_gag_toys
